City,Population,Longitude,Latitude
Smidstrup,1156,12.240685,56.1147548
Gilleleje,6596,12.3124485,56.1244169
Esrum,486,12.3785233,56.0503218
Holløse,314,12.1172836,56.0595256
Ørby,300,12.1459854,56.0509502
Mårum,222,12.2804832,56.0264435
Søborg,237,12.5088728,55.736468
Rågeleje,702,12.1657186,56.09921
Holløselund,340,12.1102051,56.073827
Vejby Strand,341,12.1351129,56.0810966
Udsholt Strand,952,12.2033963,56.1061756
Strand Esbønderup,268,12.2638054,56.1170047
Højby,1394,11.5970027,55.9103711
Rørvig,993,11.7613881,55.9452985
Strandhuse,230,11.6684782,55.8796141
Vig,1751,11.5845861,55.8519079
Grevinge,596,11.5518504,55.7995774
Havnebyen,594,11.3656257,55.9699674
Herrestrup,232,11.5970081,55.8043221
Fårevejle Stationsby,1836,11.4679257,55.7860542
Hørve,2378,11.4510369,55.7529724
Fårevejle Kirkeby,720,11.4429417,55.803257
Nykøbing S,5016,11.6689532,55.9233493
Asnæs,3073,11.5006395,55.8148175
Nørre Asmindrup,637,11.6082052,55.882272
Moseby,431,12.1017644,54.8398532
Kelstrup,212,11.5680938,55.8338411
Øster Lyng,274,11.6967101,55.9312136
Klint,263,11.5894739,55.9545956
Hønsinge Lyng,267,11.5389438,55.8632142
Yderby Lyng,206,11.2998919,55.9860472
Ellinge Lyng,331,11.5426239,55.8764334
Grevinge Lammefjord,245,11.5588081,55.7854965
Bybjerg,276,11.8028891,55.7674604
Regstrup,1643,11.6185139,55.6736163
Hagested,449,11.6137179,55.7476143
Kirke Eskilstrup,661,11.7679357,55.5737227
Sønder Jernløse,265,11.6431058,55.6517513
Kvanløse,244,11.6692913,55.651611
Undløse,1128,11.5885132,55.6038063
Udby,512,12.312887,55.0040202
Gislinge,1582,11.545304,55.7334705
Kundby,706,11.5246904,55.7100353
Ugerløse,909,11.6548735,55.5853278
Jyderup,4300,11.4081794,55.6605319
Svinninge,2894,11.4613759,55.7200463
Knabstrup,1103,11.551759,55.6651276
Mørkøv,1862,11.5021188,55.6514011
Stigs Bjergby,314,11.479722,55.672288
Holbæk,31123,11.7135474,55.7186117
Mårsø,305,11.6399211,55.7315431
Tuse,1380,11.6243263,55.712021
Arnakke,388,11.7698121,55.6704636
Store Merløse,1193,11.7145157,55.5444765
Søstrup,347,11.6494638,55.6834375
Ny Hagested,214,11.5926257,55.7261465
Gammel Tølløse,257,11.7438673,55.613063
Tølløse,4007,11.7704158,55.6108727
Vipperød,2673,11.7390943,55.6679143
Markeslev,383,11.7047204,55.7389745
Nørre Jernløse,344,11.6264135,55.6637635
Gamløse,221,11.8228018,55.763525
Karise,2443,12.1983778,55.308366
Faxe Ladeplads,2501,12.1690321,55.22086
Haslev,12634,11.9567297,55.3271115
Terslev,939,11.9698121,55.3755737
Teestrup,226,11.883345,55.3285266
Dalby,3055,12.063853,55.3112964
Faxe,4139,12.1142399,55.2521203
Førslev,346,11.9036114,55.3544952
Rønnede,2945,12.0284843,55.2563089
Skuderløse,207,11.8758548,55.3000032
Store Spjellerup,214,12.2256466,55.2724
Løve,296,11.2953261,55.4853203
Reersø,504,11.1103965,55.5240151
