City,Population,Latitude,Longitude
Smidstrup,1156,56.1147548,12.240685
Gilleleje,6596,56.1244169,12.3124485
Esrum,486,56.0503218,12.3785233
Holløse,314,56.0595256,12.1172836
Ørby,300,56.0509502,12.1459854
Mårum,222,56.0264435,12.2804832
Søborg,237,55.736468,12.5088728
Rågeleje,702,56.09921,12.1657186
Holløselund,340,56.073827,12.1102051
Vejby Strand,341,56.0810966,12.1351129
Udsholt Strand,952,56.1061756,12.2033963
Strand Esbønderup,268,56.1170047,12.2638054
Højby,1394,55.9103711,11.5970027
Rørvig,993,55.9452985,11.7613881
Strandhuse,230,55.8796141,11.6684782
Vig,1751,55.8519079,11.5845861
Grevinge,596,55.7995774,11.5518504
Havnebyen,594,55.9699674,11.3656257
Herrestrup,232,55.8043221,11.5970081
Fårevejle Stationsby,1836,55.7860542,11.4679257
Hørve,2378,55.7529724,11.4510369
Fårevejle Kirkeby,720,55.803257,11.4429417
Nykøbing S,5016,55.9233493,11.6689532
Asnæs,3073,55.8148175,11.5006395
Nørre Asmindrup,637,55.882272,11.6082052
Moseby,431,54.8398532,12.1017644
Kelstrup,212,55.8338411,11.5680938
Øster Lyng,274,55.9312136,11.6967101
Klint,263,55.9545956,11.5894739
Hønsinge Lyng,267,55.8632142,11.5389438
Yderby Lyng,206,55.9860472,11.2998919
Ellinge Lyng,331,55.8764334,11.5426239
Grevinge Lammefjord,245,55.7854965,11.5588081
Bybjerg,276,55.7674604,11.8028891
Regstrup,1643,55.6736163,11.6185139
Hagested,449,55.7476143,11.6137179
Kirke Eskilstrup,661,55.5737227,11.7679357
Sønder Jernløse,265,55.6517513,11.6431058
Kvanløse,244,55.651611,11.6692913
Undløse,1128,55.6038063,11.5885132
Udby,512,55.0040202,12.312887
Gislinge,1582,55.7334705,11.545304
Kundby,706,55.7100353,11.5246904
Ugerløse,909,55.5853278,11.6548735
Jyderup,4300,55.6605319,11.4081794
Svinninge,2894,55.7200463,11.4613759
Knabstrup,1103,55.6651276,11.551759
Mørkøv,1862,55.6514011,11.5021188
Stigs Bjergby,314,55.672288,11.479722
Holbæk,31123,55.7186117,11.7135474
Mårsø,305,55.7315431,11.6399211
Tuse,1380,55.712021,11.6243263
Arnakke,388,55.6704636,11.7698121
Store Merløse,1193,55.5444765,11.7145157
Søstrup,347,55.6834375,11.6494638
Ny Hagested,214,55.7261465,11.5926257
Gammel Tølløse,257,55.613063,11.7438673
Tølløse,4007,55.6108727,11.7704158
Vipperød,2673,55.6679143,11.7390943
Markeslev,383,55.7389745,11.7047204
Nørre Jernløse,344,55.6637635,11.6264135
Gamløse,221,55.763525,11.8228018
Karise,2443,55.308366,12.1983778
Faxe Ladeplads,2501,55.22086,12.1690321
Haslev,12634,55.3271115,11.9567297
Terslev,939,55.3755737,11.9698121
Teestrup,226,55.3285266,11.883345
Dalby,3055,55.3112964,12.063853
Faxe,4139,55.2521203,12.1142399
Førslev,346,55.3544952,11.9036114
Rønnede,2945,55.2563089,12.0284843
Skuderløse,207,55.3000032,11.8758548
Store Spjellerup,214,55.2724,12.2256466
Løve,296,55.4853203,11.2953261
Reersø,504,55.5240151,11.1103965
Kirke Helsinge,515,55.5149483,11.2062149
Spangsbro,749,55.6906672,11.1483228
Kalundborg,16659,55.6833793,11.0993619
Svallerup,251,55.6075842,11.1773229
Årby,414,55.6461726,11.1428453
Bjerge,219,55.588611,11.1907983
Gørlev,2396,55.5404225,11.2272253
Svebølle,2288,55.650812,11.2867244
Havnsø,917,55.7518479,11.3232496
Eskebjerg,243,55.7131534,11.3051658
Føllenslev,336,55.7257505,11.3508868
Snertinge,885,55.7135915,11.3826352
Høng,4304,55.5084661,11.2927612
Rørby,719,55.6460117,11.1638155
Ubby,1865,55.6163509,11.2157333
Kaldred,407,55.6977899,11.2651447
Jystrup,875,55.5154427,11.8664484
Gyrstinge,343,55.4886126,11.6855931
Fjællebro,224,55.4486801,11.9003807
Kværkeby,585,55.4613889,11.8746167
Nordrup,325,55.4079805,11.8861449
Ortved,244,55.4950009,11.8652529
Vigersted,555,55.4841276,11.889326
Vetterslev,650,55.3875244,11.7661951
Høm,468,55.4114361,11.7829493
Ringsted,24094,55.446817,11.7975218
Sneslev,415,55.386553,11.8449545
Farendløse,345,55.3910193,11.8885803
Forlev,2551,55.3711069,11.261137
Korsør,14323,55.3266045,11.1425876
Boeslunde,759,55.3026906,11.2649511
Kirke Stillinge,738,55.435673,11.2439704
Havrebjerg,386,55.4481611,11.316154
Sørbymagle,1111,55.362082,11.4417457
Flakkebjerg,442,55.312407,11.3970026
Dalmose,963,55.2954669,11.416817
Bisserup,499,55.2027418,11.4967311
Rude,288,55.2330518,11.4682887
Skælskør,6304,55.2521101,11.2942011
Slagelse,35817,55.4061196,11.3525415
Slots Bjergby,1019,55.3699905,11.3329339
